County,Region,geoid,Typical Afternoon Temperature in deg F,Tree Canopy %,Total Population,Population Age < 5,Population Age > 65
Baltimore city,Baltimore,24510250204,94.9264209867368,4.49749687108886,4312,421,422
Baltimore city,Baltimore,24510250205,95.0292916885337,8.32291909536022,4008,373,338
Baltimore city,Baltimore,24510250206,95.4062816712953,9.33613268948138,2250,251,283
Baltimore city,Baltimore,24510250207,95.2963228847062,9.51292596944772,2337,240,212
Baltimore city,Baltimore,24510250301,95.3719225192416,4.38083048919227,2303,227,233
Baltimore city,Baltimore,24510250303,95.4327680675648,11.9749085206482,2229,191,275
Baltimore city,Baltimore,24510250401,95.2711042290728,8.00547695116387,3959,337,387
Baltimore city,Baltimore,24510250402,94.9085496105972,6.79339477726575,4614,224,284
Baltimore city,Baltimore,24510250500,95.0267451208152,9.36382406306699,4252,379,462
Baltimore city,Baltimore,24510250600,94.9958457252653,1.61638012469298,0,0,0
Baltimore city,Baltimore,24510260101,94.4237548716669,16.226198292843,5116,159,583
Baltimore city,Baltimore,24510260102,94.7230561248722,9.40490341753343,4775,208,632
Baltimore city,Baltimore,24510260201,94.1491853475658,20.0972404730618,5901,506,952
Baltimore city,Baltimore,24510260202,94.3477508742232,12.1257894736842,5681,446,458
Baltimore city,Baltimore,24510260203,94.6908114949872,12.4495468277946,3070,168,274
Baltimore city,Baltimore,24510260301,95.3786892301966,6.87776793622673,4741,415,401
Baltimore city,Baltimore,24510260302,95.1488538276565,3.24864864864864,6634,431,780
Baltimore city,Baltimore,24510260303,94.6793846057128,12.9082082965578,969,122,82
Baltimore city,Baltimore,24510260401,94.5168006861072,18.927652733119,4148,561,298
Baltimore city,Baltimore,24510260402,94.3066880288386,19.9349397590362,3315,291,443
Baltimore city,Baltimore,24510260403,94.9472831870242,9.66540044317824,1764,149,133
Baltimore city,Baltimore,24510260404,95.8458582749652,3.26941572493388,2061,319,104
Baltimore city,Baltimore,24510260501,95.0143398612514,2.82926012721794,5186,369,1025
Baltimore city,Baltimore,24510260604,95.2532899682549,0.835630965005302,1492,229,104
Baltimore city,Baltimore,24510260605,94.7403802324862,0.630945989477078,4947,652,610
Baltimore city,Baltimore,24510260700,96.191309358512,0.0213523131672598,2933,400,171
Baltimore city,Baltimore,24510260800,96.6680352988383,0.0,2332,247,246
Baltimore city,Baltimore,24510260900,96.1085012251308,0.0,3359,219,201
Baltimore city,Baltimore,24510261000,97.5291106015462,0.0,2824,344,296
Baltimore city,Baltimore,24510261100,96.2097386349765,0.0,1813,115,101
Baltimore city,Baltimore,24510270101,93.1708224716048,26.9267192784667,1638,65,238
Baltimore city,Baltimore,24510270102,94.2368150252867,11.5965189873418,3774,294,513
Baltimore city,Baltimore,24510270200,93.5112555707205,29.0958904109589,1870,72,239
Baltimore city,Baltimore,24510270301,93.5206215797396,25.5508274231678,3074,144,546
Baltimore city,Baltimore,24510270302,94.0902113870913,15.4033092037229,1887,84,329
Baltimore city,Baltimore,24510270401,94.1893083122392,17.3473451327434,4892,359,547
Baltimore city,Baltimore,24510270402,93.8703336491172,13.8331838565022,3792,340,430
Baltimore city,Baltimore,24510270502,93.795714636527,16.0858638743456,4229,265,568
Baltimore city,Baltimore,24510270600,93.8387514378793,13.5820379965458,5170,457,542
Baltimore city,Baltimore,24510270802,94.2840225513405,6.26146341463414,5154,487,672
Baltimore city,Baltimore,24510270805,93.9422677516594,11.7432490355765,5584,424,841
Baltimore city,Baltimore,24510270901,94.1498160961037,8.79904686258935,4525,453,694
Baltimore city,Baltimore,24510270902,94.0542029614155,16.0318441064639,5091,197,954
Baltimore city,Baltimore,24510270903,94.3010082612481,14.1263520157325,5241,153,412
Baltimore city,Baltimore,24510271001,93.9798531062708,12.605738575983,2515,168,308
Baltimore city,Baltimore,24510271002,94.0251341676113,12.0313901345292,4250,493,717
Baltimore city,Baltimore,24510271101,93.6372375234449,20.6544391281233,1928,88,265
Baltimore city,Baltimore,24510271102,93.0984497893798,34.4925117672228,4597,43,252
Baltimore city,Baltimore,24510271400,93.0912011980242,40.1028125,4015,235,757
Baltimore city,Baltimore,24510271503,93.9043458586656,17.8525179856115,876,23,389
Baltimore city,Baltimore,24510271600,94.7956268828035,6.31084489281211,4066,153,912
Baltimore city,Baltimore,24510271700,94.8609719476002,5.54421346571517,4624,145,1421
Baltimore city,Baltimore,24510271801,95.7077202010009,1.60521235521235,2700,223,680
Baltimore city,Baltimore,24510271802,95.3022018194922,1.34619289340102,2290,179,446
Baltimore city,Baltimore,24510271900,94.2513466322239,14.6757587399155,3794,158,991
Baltimore city,Baltimore,24510272006,94.3866646934867,10.1095690284879,3488,375,808
Baltimore city,Baltimore,24510280101,95.1826291100735,3.0958904109589,3401,233,407
Baltimore city,Baltimore,24510280102,93.8716437084108,15.4277598648856,6231,378,1280
Baltimore city,Baltimore,24510280200,92.8193689683324,19.5524553571429,5122,162,1299
Baltimore city,Baltimore,24510280301,90.4763726073632,55.9808811305071,3912,443,429
Baltimore city,Baltimore,24510280302,91.2436451309339,41.5817575083426,2538,197,255
Baltimore city,Baltimore,24510280401,92.1071359166834,37.4053167049557,3269,189,587
Baltimore city,Baltimore,24510280402,92.0698713249722,34.4889741131351,1632,77,349
Baltimore city,Baltimore,24510280403,92.9081986857856,29.1862252438663,5468,585,544
Baltimore city,Baltimore,24510280404,93.1366718173841,19.0543615676359,2631,192,461
Baltimore city,Baltimore,24510280500,98.1037133748789,0.0227670753064799,2173,42,371
Baltimore County,Baltimore,24005403500,93.328100343669,16.1719952128569,5185,583,922
Baltimore County,Baltimore,24005403601,91.9899439255192,33.1939831998437,4884,312,1057
Baltimore County,Baltimore,24005403602,93.276357534872,21.2916991426344,5677,468,554
Baltimore County,Baltimore,24005403701,91.163821672346,46.571462297559,6971,277,2074
